gene_id,family_id,class_id,subtype_logFC,subtype_logCPM,subtype_F,subtype_PValue,subtype_qvalue
721,MTB-int,ERVL-MaLR,LTR,0.519045859458334,7.84718091455283,94.8296888921803,1.67437272103703e-07,3.88507138002459e-06
738,MuLV-int,ERV1,LTR,0.577124112393748,7.63837138561784,45.0240751698128,2.12447759196909e-05,9.70322622617718e-05
741,MuRRS4-int,ERV1,LTR,0.551404332578517,9.96514419295612,33.2225784590572,0.000119281033935136,0.000378117498508265
743,MurSAT1,Satellite,Satellite,0.728196523951979,8.57122435711532,27.4163019251523,0.000345892550918231,0.000915020719804965
793,Ricksha_b,MULE-MuDR,DNA,0.858985317266083,0.400991762707532,20.9970165186891,0.000459530387698022,0.00114780023177251
805,RLTR10-int,ERVK,LTR,0.505809797566094,10.3833197233004,66.447222313195,1.56553777635008e-06,1.42425753799653e-05
812,RLTR12B,ERVK,LTR,-0.59840534745179,8.81141023932172,62.0874273539611,3.00053728724983e-06,2.36450790452997e-05
824,RLTR13A3,ERVK,LTR,0.53060242925254,6.57646560365475,150.477983563786,9.8254328505011e-09,1.64483010028805e-06
848,RLTR16,ERVK,LTR,-0.606174748115806,9.719728957862,56.7447055426155,7.17152104567636e-06,4.38520877055292e-05
849,RLTR16B_MM,ERVK,LTR,-0.93794321968033,9.56877556669714,42.4367935093725,6.06590469825954e-05,0.00021345117475951
850,RLTR16C_MM,ERVK,LTR,-0.934187440209521,8.63343490715846,51.7549073264834,2.28744425163122e-05,0.000101978092333679
851,RLTR17,ERVK,LTR,-1.02878568672425,11.7238736780674,35.9714408423191,0.000128195146929481,0.000404085547645322
852,RLTR17B_Mm,ERVK,LTR,0.843044751962353,11.4295815323569,151.21802990539,1.937569471509e-08,2.16814023861857e-06
863,RLTR19D,ERVK,LTR,-1.025268259219,6.54719998875378,43.3200009831595,5.4150701604528e-05,0.000193593083372098
872,RLTR1F_Mm,ERVK,LTR,-0.625922738725508,6.3895906720592,20.8913416424944,0.000877312218162132,0.00201998430478071
876,RLTR20A2B_MM,ERVK,LTR,-0.933051342235114,8.73974421231677,47.9438896937567,3.43919918095621e-05,0.000138433952643525
888,RLTR20D,ERVK,LTR,-0.826086985455267,9.45255741310443,38.1948422212029,9.17838160859748e-05,0.000306794025728416
893,RLTR24,ERV1,LTR,-0.50756133277577,10.0009243277563,8.65999444418572,0.0145942340139768,0.0247935692360221
897,RLTR26,ERVK,LTR,-0.552908184555432,8.27557867818487,59.7488222985715,2.82719535414795e-06,2.24371035552592e-05
901,RLTR26_Mus,ERVK,LTR,-0.705917806919664,10.454447395585,54.5068732464747,1.27354701393295e-05,6.45502224137341e-05
902,RLTR27,ERVK,LTR,-0.799988213682618,10.5008318362073,19.9396251664968,0.00118207283324697,0.00261928613941259
911,RLTR30E_MM,ERV1,LTR,-0.822752698140755,8.74381409890597,27.2304375299702,0.000361706522104987,0.000945676631391309
912,RLTR31A_Mm,ERVK,LTR,-0.985215743450759,8.26018230828688,36.4296369321835,0.000114205937313795,0.000368901249155125
914,RLTR31B_Mm,ERVK,LTR,-0.951721808726689,8.45840069356032,61.1402805023796,9.50100124091782e-06,5.20085190342454e-05
915,RLTR31C_MM,ERVK,LTR,-0.621824138378377,8.17816569002223,66.7512478433063,1.81902236684589e-06,1.61546510198457e-05
917,RLTR31M,ERVK,LTR,-0.503416866805763,7.21150519177603,62.3322590274348,1.93707342388968e-06,1.69342590729106e-05
921,RLTR34B_MM,ERVK,LTR,-0.512322446025294,8.15968493247635,83.3076491324331,3.61944117741968e-07,5.8515017273247e-06
922,RLTR34C_MM,ERVK,LTR,-0.830568859850388,8.47903821799375,83.1437790889479,1.06590705024042e-06,1.10523931466487e-05
923,RLTR34D_MM,ERVK,LTR,-0.711603343638382,8.61922359118071,41.1147638389344,4.95313609123197e-05,0.000178792235035115
931,RLTR42,ERVK,LTR,-0.58767296819455,6.31191988899182,81.1999944538983,4.20939801754548e-07,6.28042184217786e-06
934,RLTR44A,ERVK,LTR,-0.529365457724497,8.15454481400774,9.00500353451654,0.0131757670340284,0.022578381793381
935,RLTR44B,ERVK,LTR,-0.644022102029105,8.82779721756095,8.93543257864916,0.0135405102055236,0.0231679371865151
936,RLTR44C,ERVK,LTR,-0.88071149595795,9.53061165189314,15.1350514868352,0.00298747433347543,0.00595897286837614
